TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific"	-1.3548971822886313	4.497468723709967	0.08596293471191944	0.9260556420555033	0.20070738	5.698312555992087	-0.5636125969600357	null
"GO:0001216"	"DNA-binding transcription activator activity"	-1.3465418945918097	4.576064788225377	0.10301716283706232	0.9256668259458861	0.70165941	null	null	1228
"GO:0003943"	"N-acetylgalactosamine-4-sulfatase activity"	-2.4786003718846246	2.113943352306837	0.00035273295304528307	0.9322284450433619	0.60777113	-1.7283359752928174	-6.145914162214113	null
"GO:0003987"	"acetate-CoA ligase activity"	-1.4865693015558996	4.067405658437824	0.03193190252451795	0.9814731251154368	0.02374375	5.90630232115587	2.265298760631865	null
"GO:0004065"	"arylsulfatase activity"	-2.917933065714887	3.8428587624452937	0.019039376372514	0.9242431528399558	0.37927452	-2.1616921969165444	-6.1753204060171125	null
"GO:0004656"	"procollagen-proline 4-dioxygenase activity"	-1.9133854377769188	3.652052848248105	0.01226909116522624	0.7839440392372939	0.63136653	2.8648377707154666	5.608068154371437	null
"GO:0019798"	"procollagen-proline dioxygenase activity"	-1.9133854377769188	3.7637274037656985	0.015867514159083544	0.7814438923051412	0.95798075	null	null	4656
"GO:0031545"	"peptidyl-proline 4-dioxygenase activity"	-1.4865693015558996	3.667639706056411	0.012717526857469855	0.7835972357328547	0.95992162	null	null	4656
"GO:0004758"	"serine C-palmitoyltransferase activity"	-1.4865693015558996	2.973589623427257	0.0025703021384695045	0.9430456895792787	0.02022421	2.8969691582816104	-4.889091190496942	null
"GO:0005326"	"neurotransmitter transmembrane transporter activity"	-2.244517169119577	3.04883008652835	0.0030570189263924527	0.7907177401166865	0.25086966	-6.292216762582597	-0.7559533068134996	null
"GO:0005452"	"solute:inorganic anion antiporter activity"	-1.9133854377769188	4.092650478356795	0.033843222944507506	0.7494434991519934	0.47323502	-6.72323366815084	1.9379536362616478	null
"GO:0008484"	"sulfuric ester hydrolase activity"	-3.0258384630244066	4.771131636693101	0.16142864611577035	0.9402549111608144	-0	-2.94885341797069	-6.1935197526776475	null
