gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Cvig_COX1,203596.790264408,0.195070213602425,0.2934820427701,0.466209560724812,0.610017301493238
Cvig_LOC111125850,142491.731591736,-0.0862596729470244,0.208671143939847,0.665092040288241,0.774124729204213
Cvig_CYTB,128115.985270208,0.0831684083177019,0.283088208044393,0.749044696078487,0.836322335249208
Cvig_LOC111127225,124019.453109409,0.113673016808342,0.165691622410548,0.479990069563825,0.62197201546134
Cvig_LOC111118646,76379.3408398549,0.559763019619142,0.252332485218394,0.0173337091821923,0.0470723016660001
Cvig_COX2,74697.3311128268,0.126506488480463,0.313632094332078,0.654199870768118,0.765599514872205
Cvig_ND1,68939.3459395255,0.0229706658544891,0.31058108611618,0.934684716462414,0.96040023450193
Cvig_LOC111103455,58256.4179540155,-0.438672688388601,0.195851820753546,0.0194858403094616,0.0518411767362712
Cvig_LOC111113328,55944.1666884977,-0.426617851571834,0.272255946633767,0.0894729972903316,0.17802609433099
Cvig_LOC111132962,57390.9773329828,1.06066513498706,0.307873208908571,0.000132759522281326,0.000700083438710204
Cvig_COX3,54399.3916138482,0.074235128034834,0.306627884200943,0.789028330808624,0.864682949291577
Cvig_LOC111137486,50810.1308531056,-0.396107855834167,0.204198247093497,0.0423539010860311,0.0980877916275495
Cvig_LOC111104407,50454.4029490274,-0.81668381775801,0.24459498730859,0.000355070445464702,0.00168634405332491
Cvig_ATP6,49222.6003138207,-0.240047266224709,0.35282267038034,0.436923270992158,0.58201700027227
Cvig_ND5,49455.9999345948,0.145810482907171,0.315659850474227,0.607459696466783,0.728383614301531
Cvig_LOC111109801,40966.9388452782,-0.532438996257292,0.239718903274689,0.0179694897470794,0.0484804647766278
Cvig_ND4,41593.9555471949,0.067243288765148,0.287137386232383,0.798242580493902,0.871179151732637
Cvig_LOC111127289,39687.6126657009,1.25315985495005,0.15255146274294,3.19604916617648e-17,1.14178223043077e-15
Cvig_LOC111120642,34913.8507475993,-0.242898676833395,0.188637383440147,0.180993673351002,0.30486146015898
Cvig_LOC111113330,32783.3145237793,-0.17642231388753,0.327265852641601,0.545574717113468,0.678179235187151
Cvig_LOC111113329,31863.3239626737,-0.295632850330402,0.282120673276901,0.253730892996468,0.392591880373264
Cvig_LOC111112993,29942.7986336163,0.194548320294037,0.34466516308803,0.521568102345969,0.658272616968216
Cvig_LOC111138500,29003.9005212292,-0.0632201684315006,0.255267892028672,0.79071690002217,0.86590170836629
Cvig_ND2,29961.4103517904,-0.00312984594125817,0.298063594553866,0.990792483215284,0.994670895647195
Cvig_LOC111110981,32850.6070976816,1.14736194605005,0.364024308024427,0.000290314202107079,0.00140956772440631
Cvig_LOC111118647,26723.7853054202,-0.229612246324686,0.202882309013845,0.236927962595718,0.373116298741047
Cvig_rna-NC_007175.2_6842..7830,27721.68106223,-0.123240219772971,0.351728990946957,0.689213459645019,0.791847572799945
Cvig_LOC111118209,25022.4666531014,-0.426266789559795,0.238907860891853,0.05760491000109,0.125432932006929
Cvig_LOC111128115,25002.3557847511,0.584186559380139,0.115423979035362,2.77142742600303e-07,2.5804214330952e-06
Cvig_LOC111104151,22960.5337798233,-0.667998499464309,0.363153521761119,0.034001055232614,0.0820943962734642
Cvig_LOC111130094,23302.8781229045,-0.00838762795398126,0.168773970166069,0.95915317842854,0.974946414046797
Cvig_LOC111118265,21377.5200799049,0.355879460021305,0.357415203839891,0.253421360326446,0.392198244198486
Cvig_LOC111116509,18615.4166264996,-0.222062737896492,0.280266063265285,0.388862109611249,0.537139521289436
Cvig_LOC111118004,20287.536197724,1.13010917206127,0.122925550219318,8.08886181551472e-21,4.06310741991102e-19
Cvig_LOC111135192,18774.481548553,-0.568182593890695,0.195917175672479,0.00246950595342106,0.00911233426399161
Cvig_LOC111118540,19141.1881875879,0.0978834941532594,0.241136468077623,0.665920403800861,0.774572671688994
Cvig_LOC111126128,19181.421959502,-0.183563550077959,0.218862532523742,0.377435486687851,0.525729784411546
Cvig_LOC111137089,18971.3364111675,-0.00630934020446287,0.228586145898556,0.976728147573254,0.985790734768782
Cvig_LOC111131730,18633.2863464501,0.611307559433729,0.139043142627523,6.98615825667044e-06,4.94232702863128e-05
Cvig_LOC111133751,18442.2255265202,-0.0324770111940209,0.203437857792734,0.867538924552561,0.916831899728987
Cvig_LOC111135077,18507.7941330732,-0.0585827204726279,0.240501854971845,0.79564954693488,0.869221297248858
